ax,ay,az,qx,qy,qz,qw,ts
0.003390,-0.171046,-0.101640,-0.304091,0.612165,-0.617281,0.389546,483503396.102400
-0.037241,-0.186433,-0.189600,-0.308492,0.609887,-0.615881,0.391868,483503396.102812
-0.087998,-0.218293,-0.163693,-0.314167,0.606796,-0.614237,0.394729,483503396.117872
-0.103416,-0.192885,-0.111079,-0.320432,0.603561,-0.612698,0.397038,483503396.133354
-0.136536,-0.102031,-0.065076,-0.326392,0.600525,-0.611851,0.398091,483503396.134040
-0.185116,-0.055166,-0.067919,-0.332521,0.597072,-0.612339,0.397461,483503396.149440
-0.104737,0.119476,-0.078778,-0.338958,0.593027,-0.614049,0.395436,483503396.164826
0.034549,0.146335,-0.074896,-0.345366,0.588175,-0.617010,0.392518,483503396.165211
0.133789,0.010500,-0.036923,-0.350820,0.582746,-0.620914,0.389613,483503396.181155
0.175131,-0.069369,0.100909,-0.354967,0.577415,-0.624833,0.387521,483503396.196761
0.169248,0.172277,0.228469,-0.358134,0.573286,-0.627754,0.386015,483503396.197161
0.198125,0.334181,0.309348,-0.360906,0.570841,-0.629418,0.384344,483503396.212244
0.218787,0.325203,0.329004,-0.363773,0.570162,-0.629427,0.382631,483503396.228731
0.191186,0.312681,0.260818,-0.367036,0.570764,-0.627659,0.381519,483503396.229101
0.165110,0.295330,0.183756,-0.370607,0.572121,-0.624407,0.381372,483503396.244188
0.096384,0.304699,0.129178,-0.374266,0.574048,-0.620077,0.381966,483503396.259381
-0.002863,0.262272,0.068221,-0.377897,0.576117,-0.615276,0.383039,483503396.259946
-0.171337,0.171457,0.047646,-0.381143,0.578136,-0.610580,0.384292,483503396.275492
-0.225055,0.191575,0.061589,-0.383813,0.580240,-0.606119,0.385523,483503396.291462
-0.236271,0.211174,0.078201,-0.386057,0.582563,-0.601887,0.386411,483503396.292083
-0.213456,0.221237,0.065528,-0.388198,0.585184,-0.597471,0.387158,483503396.306947
-0.197490,0.215083,0.037649,-0.390532,0.587986,-0.592504,0.388197,483503396.322276
-0.177289,0.201686,-0.017927,-0.393123,0.590744,-0.586989,0.389769,483503396.322704
-0.150236,0.186503,-0.199961,-0.395569,0.592407,-0.582272,0.391840,483503396.338145
-0.002978,0.130484,-0.249729,-0.396900,0.592602,-0.578985,0.395056,483503396.353997
0.026513,0.137835,-0.185381,-0.398112,0.591923,-0.575808,0.399473,483503396.354408
0.075121,0.003990,0.086809,-0.400343,0.592382,-0.570741,0.403811,483503396.369950
0.028904,-0.144500,0.176274,-0.404872,0.594188,-0.563034,0.407446,483503396.385038
-0.120057,-0.279786,0.160098,-0.410093,0.596209,-0.554522,0.410929,483503396.385420
-0.174011,-0.204558,0.194294,-0.414825,0.598395,-0.546427,0.413836,483503396.401197
-0.146375,-0.161469,0.228933,-0.419288,0.600623,-0.538821,0.416079,483503396.416815
-0.124003,-0.112978,0.208674,-0.423582,0.603184,-0.531426,0.417532,483503396.417168
-0.098727,-0.111366,0.167521,-0.428116,0.606111,-0.523782,0.418328,483503396.432854
-0.129082,-0.161185,0.091673,-0.433042,0.609324,-0.515749,0.418571,483503396.448074
-0.065414,-0.179339,-0.016571,-0.437931,0.612301,-0.507676,0.419010,483503396.448505
0.073336,-0.212783,-0.097260,-0.441604,0.614978,-0.500481,0.419889,483503396.464130
0.097195,-0.271832,-0.104919,-0.444181,0.617125,-0.494033,0.421654,483503396.480033
0.079136,-0.296836,-0.067615,-0.446136,0.618730,-0.488206,0.424017,483503396.480410
-0.017080,-0.099770,-0.058479,-0.447519,0.619890,-0.483247,0.426538,483503396.495469
-0.087051,-0.101305,-0.123204,-0.448133,0.620405,-0.479843,0.428981,483503396.511341
-0.075802,-0.141792,-0.121213,-0.448283,0.620442,-0.477638,0.431227,483503396.511579
