ax,ay,az,qx,qy,qz,qw,ts
0.578475,0.164069,-0.419461,-0.119267,0.732020,-0.249973,0.622443,484068019.883016
0.744663,0.260281,-0.155466,-0.140451,0.718405,-0.246392,0.635184,484068019.898453
1.004172,0.204830,0.004466,-0.164922,0.703050,-0.241541,0.648212,484068019.898849
1.202470,0.163324,0.177211,-0.190359,0.688358,-0.234866,0.659367,484068019.914018
1.132087,0.108010,-0.006533,-0.217299,0.672987,-0.226808,0.669647,484068019.929660
1.018955,-0.329312,0.232601,-0.245675,0.657169,-0.219364,0.677976,484068019.930109
0.732259,-0.601073,0.479490,-0.273126,0.643426,-0.215169,0.681988,484068019.945602
0.498892,-0.534816,0.141237,-0.296506,0.630467,-0.214525,0.684525,484068019.960881
0.244801,-0.534095,0.585887,-0.306719,0.626570,-0.217190,0.682761,484068019.961299
-0.004807,-0.200126,0.297666,-0.301570,0.631611,-0.224331,0.678085,484068019.976726
-0.252512,0.331687,-0.126550,-0.292325,0.636910,-0.232423,0.674441,484068019.992493
-0.554775,0.382453,0.063389,-0.285977,0.641335,-0.236206,0.671650,484068019.992723
-0.900522,0.299705,-0.074747,-0.283581,0.643928,-0.234737,0.670699,484068020.008286
-0.985244,0.005769,-0.003999,-0.283866,0.644308,-0.231977,0.671173,484068020.024175
-0.824956,-0.213716,0.230664,-0.284978,0.646219,-0.230718,0.669296,484068020.024662
-0.663100,-0.299175,0.160140,-0.287417,0.650167,-0.230223,0.664584,484068020.039694
-0.418382,-0.293884,0.047231,-0.291257,0.655323,-0.230011,0.657887,484068020.055660
-0.109210,-0.330171,-0.086452,-0.295355,0.661597,-0.230112,0.649694,484068020.056439
-0.096831,-0.300947,-0.266770,-0.298509,0.666496,-0.229417,0.643461,484068020.071553
-0.300022,-0.152476,-0.299719,-0.300007,0.668165,-0.228261,0.641442,484068020.087328
-0.222262,-0.104986,-0.103743,-0.299137,0.667855,-0.226991,0.642620,484068020.087750
-0.031789,-0.252350,0.195046,-0.296456,0.668032,-0.224693,0.644484,484068020.102963
-0.244033,-0.414183,-0.060750,-0.292060,0.670067,-0.221467,0.645495,484068020.118672
-0.278298,-0.349666,-0.246530,-0.287130,0.670372,-0.218110,0.648526,484068020.119122
-0.049672,-0.121805,-0.035670,-0.281868,0.668334,-0.214752,0.654034,484068020.134308
0.178345,-0.115404,-0.047220,-0.274246,0.667863,-0.211429,0.658821,484068020.149714
0.320385,-0.109814,-0.149072,-0.265071,0.668226,-0.207155,0.663549,484068020.150064
-0.388881,0.004972,0.518116,-0.254943,0.672985,-0.205268,0.663296,484068020.165694
0.162296,-0.384013,0.486102,-0.245048,0.684298,-0.211609,0.653383,484068020.181612
0.912028,0.055194,-1.647691,-0.236094,0.687778,-0.226705,0.647940,484068020.182027
0.768562,0.865253,-1.447827,-0.237774,0.673318,-0.246165,0.655370,484068020.197192
0.234843,0.860879,0.189323,-0.250530,0.654852,-0.268348,0.660601,484068020.213600
0.214462,0.416847,0.789011,-0.262665,0.643882,-0.288442,0.658198,484068020.214062
0.756454,0.823660,-0.084953,-0.270452,0.642725,-0.305503,0.648404,484068020.228579
0.619045,0.686399,-0.661632,-0.271456,0.645278,-0.321162,0.637795,484068020.244614
0.165224,0.588067,-0.274750,-0.267686,0.643856,-0.331444,0.635561,484068020.245021
-0.506015,0.241375,0.365337,-0.263054,0.639812,-0.336893,0.638707,484068020.260402
-0.868430,0.033655,0.630210,-0.261467,0.634876,-0.340908,0.642145,484068020.275879
-1.031564,0.063783,0.557196,-0.265097,0.628817,-0.343092,0.645446,484068020.276333
-0.857597,0.104703,0.406500,-0.272729,0.623370,-0.344502,0.646797,484068020.291666
-0.547910,0.107573,0.172341,-0.281539,0.619539,-0.347245,0.645236,484068020.308225
-0.241229,-0.005911,0.156757,-0.289967,0.617225,-0.351302,0.641513,484068020.308582
-0.147274,-0.227455,0.213347,-0.297883,0.616714,-0.355403,0.636095,484068020.323052
-0.159149,-0.429422,0.203140,-0.305260,0.618134,-0.358603,0.629389,484068020.338794
0.009089,-0.233415,-0.338257,-0.311786,0.619978,-0.361815,0.622500,484068020.339234
0.119345,-0.136208,-0.491759,-0.318789,0.619313,-0.365621,0.617370,484068020.354476
0.278446,-0.283434,-0.278055,-0.328592,0.615135,-0.367678,0.615183,484068020.370217
0.380065,-0.520487,-0.039494,-0.339423,0.610443,-0.365995,0.614979,484068020.370589
0.344015,-0.595933,0.083261,-0.348144,0.607475,-0.361060,0.615959,484068020.385956
0.207661,-0.404898,0.165003,-0.353512,0.607338,-0.355492,0.616275,484068020.401734
0.089475,-0.302657,0.272367,-0.355602,0.610699,-0.351181,0.614219,484068020.402232
-0.033532,-0.256141,0.267509,-0.355784,0.616891,-0.348994,0.609152,484068020.417409
-0.135646,-0.210206,0.151087,-0.356183,0.624266,-0.349073,0.601310,484068020.433649
-0.163000,-0.220742,0.233284,-0.356005,0.633273,-0.353316,0.589401,484068020.434074
-0.158067,-0.078863,-0.951350,-0.364412,0.632607,-0.353820,0.584657,484068020.448902
-0.052554,0.242948,-0.142363,-0.379213,0.624135,-0.350596,0.586289,484068020.464687
0.248292,0.406154,0.642350,-0.393056,0.616632,-0.348876,0.586138,484068020.465046
0.509653,0.068323,0.215630,-0.398477,0.615364,-0.355389,0.579864,484068020.480656
0.516210,-0.196221,0.036370,-0.399026,0.616618,-0.364064,0.572728,484068020.496101
0.332309,-0.302464,-0.055898,-0.397500,0.618374,-0.372577,0.566387,484068020.496464
0.143696,-0.465612,-0.143924,-0.395557,0.619519,-0.380905,0.560929,484068020.512294
0.004338,-0.652913,-0.155726,-0.393307,0.620221,-0.389424,0.555863,484068020.527959
-0.134324,-0.635728,-0.168727,-0.390614,0.620706,-0.398564,0.550719,484068020.528580
-0.163636,-0.678372,-0.199195,-0.387940,0.620322,-0.408319,0.545874,484068020.543254
-0.268278,-0.585385,-0.081236,-0.385652,0.618964,-0.419483,0.540546,484068020.558903
-0.354536,-0.372786,-0.016415,-0.384785,0.616151,-0.432100,0.534405,484068020.559333
-0.400441,-0.164941,-0.016639,-0.387671,0.610637,-0.444989,0.528033,484068020.574838
-0.351417,0.116470,0.622998,-0.395742,0.602822,-0.456975,0.520738,484068020.590434
-0.371990,0.055378,0.423983,-0.405706,0.600958,-0.468646,0.504602,484068020.590801
-0.317822,-0.111932,0.312561,-0.415366,0.602622,-0.481313,0.482343,484068020.606240
-0.245134,-0.256833,0.048491,-0.423213,0.606010,-0.495631,0.456062,484068020.622091
-0.188016,-0.379254,-0.151103,-0.428905,0.608440,-0.511316,0.429415,484068020.622496
-0.129311,-0.494607,-0.308550,-0.433435,0.607840,-0.527300,0.405733,484068020.637679
-0.042801,-0.648517,-0.299957,-0.437893,0.604232,-0.541943,0.386590,484068020.653079
0.015369,-0.725622,-0.178045,-0.442682,0.599571,-0.553829,0.371241,484068020.653302
0.054142,-0.773326,-0.092819,-0.447691,0.595165,-0.562921,0.358429,484068020.668577
0.068068,-0.802226,-0.035438,-0.454571,0.591616,-0.568298,0.346978,484068020.684320
0.083184,-0.801267,-0.001879,-0.461922,0.588769,-0.572196,0.335515,484068020.684602
0.073849,-0.767306,-0.025532,-0.467231,0.586527,-0.577274,0.323165,484068020.700187
0.061872,-0.744772,-0.114062,-0.471040,0.584647,-0.583220,0.310101,484068020.715880
0.095972,-0.786744,-0.092848,-0.474108,0.582907,-0.589680,0.296173,484068020.716147
0.058980,-0.475804,-0.169935,-0.473006,0.580302,-0.600867,0.280131,484068020.731293
-1.855151,3.761005,0.574907,-0.470678,0.573444,-0.620674,0.253748,484068020.747277
-4.034393,7.313775,1.177984,-0.476091,0.554244,-0.655181,0.192065,484068020.747658
-0.050237,4.132250,0.686692,-0.469205,0.529935,-0.697233,0.113503,484068020.762984
0.934799,1.497634,0.509922,-0.444708,0.508850,-0.736066,0.038899,484068020.778699
1.195031,0.211428,0.390714,-0.411751,0.492291,-0.766367,-0.028136,484068020.778927
1.202996,-0.195059,0.061468,-0.380208,0.480271,-0.785779,-0.085633,484068020.794350
1.030535,-0.207299,-0.234203,-0.357874,0.473332,-0.794064,-0.131700,484068020.810420
0.742671,-0.400751,-0.413664,-0.345704,0.473522,-0.793564,-0.162854,484068020.810865
0.458872,-0.394388,-0.281476,-0.340060,0.483552,-0.786845,-0.177234,484068020.826711
0.024657,-0.247766,-0.277808,-0.338715,0.501104,-0.776228,-0.177868,484068020.842239
-0.376493,-0.000188,-0.138481,-0.341225,0.521248,-0.763530,-0.169967,484068020.842647
-0.592204,0.141313,-0.034137,-0.346291,0.540118,-0.750442,-0.158719,484068020.857924
-0.461650,-0.006056,0.079433,-0.353769,0.555597,-0.738078,-0.146289,484068020.873896
-0.277625,-0.226888,0.261226,-0.359406,0.562183,-0.732362,-0.135729,484068020.874316
-0.178066,-0.328238,0.192497,-0.365702,0.562617,-0.730659,-0.125942,484068020.889458
-0.115188,-0.290300,0.208194,-0.374783,0.560721,-0.729136,-0.116148,484068020.905460
-0.092471,-0.200278,0.225884,-0.387398,0.558522,-0.725689,-0.106541,484068020.905835
-0.084521,-0.085289,0.223984,-0.403136,0.556776,-0.719694,-0.097581,484068020.920927
-0.076946,0.009622,0.198075,-0.420388,0.555286,-0.711968,-0.089623,484068020.937023
-0.029068,0.116379,0.204019,-0.436868,0.553998,-0.703827,-0.082822,484068020.937504
0.029077,0.104916,0.219613,-0.450782,0.553421,-0.696103,-0.077207,484068020.952329
0.047012,0.086738,0.248410,-0.460511,0.554156,-0.689518,-0.073527,484068020.968192
0.041095,0.072363,0.282501,-0.464864,0.556538,-0.684702,-0.073149,484068020.968549
0.033040,0.079430,0.185431,-0.463429,0.560338,-0.682112,-0.077325,484068020.983458
0.001293,0.114708,-0.279900,-0.458397,0.564042,-0.681645,-0.084194,484068020.999701
0.033212,0.093477,-0.624449,-0.452860,0.565688,-0.683149,-0.090683,484068021.000081
0.111626,0.034157,-0.753525,-0.448290,0.564533,-0.686559,-0.094744,484068021.015696
0.105224,0.012334,-0.651143,-0.444300,0.561063,-0.691677,-0.096900,484068021.030824
0.115579,0.056087,-0.620331,-0.442658,0.556911,-0.696059,-0.096981,484068021.031319
0.174161,0.162408,-0.664250,-0.446146,0.554666,-0.696093,-0.093564,484068021.046095
0.068323,0.062132,-0.579870,-0.454247,0.555182,-0.691402,-0.086000,484068021.062352
-0.044849,0.014523,-0.522785,-0.467042,0.557471,-0.682346,-0.074179,484068021.062796
-0.075130,-0.060079,-0.396368,-0.483278,0.560104,-0.670230,-0.059309,484068021.078420
-0.064378,-0.061566,-0.209756,-0.500555,0.562153,-0.656985,-0.042425,484068021.094399
-0.187720,0.110152,0.442518,-0.512507,0.560614,-0.649801,-0.028416,484068021.096440
-0.167591,0.077355,0.590191,-0.511490,0.552019,-0.658081,-0.024127,484068021.108830
-0.119265,-0.032268,0.413391,-0.505485,0.540660,-0.671994,-0.024412,484068021.125510
-0.121385,-0.014322,0.372734,-0.500445,0.530137,-0.684036,-0.024581,484068021.125986
-0.049065,-0.056876,0.414873,-0.497782,0.521824,-0.692353,-0.023651,484068021.141099
-0.007644,-0.070971,0.452054,-0.497320,0.516338,-0.696835,-0.022105,484068021.156751
-0.034467,-0.025723,0.420103,-0.499523,0.513955,-0.697075,-0.020326,484068021.157570
0.102799,-0.011037,0.328458,-0.503506,0.514262,-0.694020,-0.018779,484068021.172577
0.122284,-0.020771,0.265828,-0.507377,0.516451,-0.689586,-0.017854,484068021.188669
0.066611,-0.047587,0.226505,-0.509840,0.519461,-0.685503,-0.017598,484068021.189091
-0.011226,-0.059730,0.183624,-0.510723,0.522420,-0.682578,-0.018088,484068021.204164
-0.064719,-0.058529,0.139514,-0.510794,0.525073,-0.680453,-0.019263,484068021.219888
